TS,D49840,"Quest Systems",Corp,03/08/2018,software,"$7,730.00 ","Offiste cloud connect storage and service for Veeam backup cold storage",
DG,D49841,Thycotic,Corp,03/08/2018,Software,"$1,340.64 ","Password management licensing",
TS,D49842,SHI,Corp,03/08/2018,"Maintenance / Support","$225.36 ","24/7 support for Veeam",
TS,D49843,Amazon,17-0730,03/08/2018,"Monitors, Projector & LCD","$349.98 ","2 27"" monitors for Ethan Wood",
MM,D49844,Amazon,17-0027,03/09/2018,Miscellaneous,"$39.99 ","Samsung 128GB SD card",
MM,D49845,Amazon,Corp,3/14/2018,Miscellaneous,"$96.26 ","ESD booties and pneumatic chair for server room",
SH,D49846,Newegg,"17-0406 BCCH ",3/13/2018,Printer,"$299.99 ","printer for 17-0406 BCCH - Jason Hanley approved by Troy Slogowski",
TS,D49847,Amazon,Reno,3/13/2018,"Computer (Laptop, Desktop or Tablet)","$43.63 ","new LCD fro Mark Boortz laptop",
SH,D49848,Amazon.com,Corporate,3/15/2018,Miscellaneous,"$84.90 ","Replacement ergonomic mouse for Tina, otterbox for Samsung",
SH,D49849,Amazon.com,"Corporate and Bend OR projects",3/15/2018,Miscellaneous,"$434.17 ","iPhone X case for Ryan Wallace, displays for Jim Redfield",
TS,D49850,Amazon.com,Corp,3/16/2018,Miscellaneous,"$154.53 ","video cables for stock, phone case for Jmorris, Keyboard for TSauter",
TS,D49851,SHI,"Portland - Mitch Rask",3/16/2018,"Computer (Laptop, Desktop or Tablet)","$2,808.86 ","Lenovo Yoga X1 with warranty and dock",
TS,D49852,Amazon,18-0794,3/22/2018,"Computer (Laptop, Desktop or Tablet)","$137.98 ","16gb Ram upgrade for Gary Curl",
TS,D49853,SHI,"Portland- Shawn Coates, Paul Yannello",3/22/2018,"Computer (Laptop, Desktop or Tablet)","$4,493.04 ","2 t480s with warranty and dock for Shawn Coates and Paul Yannello",
SH,D49854,Amazon.com,"Grant HS",3/21/2018,Miscellaneous,"$59.95 ","Otterbox case for Samsung S9+",
SH,D49855,Amazon.com,"Corporate - Zach Tyler",3/20/2018,Miscellaneous,"$39.95 ","Headset for Zach Tyler approved by David Krein",
SH,D49856,Amazon.com,17-0503/Corporate/PDX,3/22/2018,Miscellaneous,,"Display mount and dockng station (Ethan Wood and Parks McCants, latch for Chris Carothers iPad",
DG,D49857,Amazon.com,Corp,3/23/2018,Miscellaneous,"$36.97 ","Phone accessories",
TS,D49858,SHI,"Eugene - coatings Tim Meek",3/23/2018,"Computer (Laptop, Desktop or Tablet)","$2,254.98 ","t480s laptop with warranty and dock forTim Meek",
SH,D49859,"Apple Store",17-0609,3/26/2018,Software,"$49.95 ","Bluebean licenses for iPad - Chris Carothers",
TS,D49860,Amazon.com,"PDX, corp- partial return 4/2/18",3/27/2018,Miscellaneous,"$278.87 ","cable, surge protector for stock, lamps for Tysen -- Return of 54.52 prcoeessed on 4/2",
SH,D49861,Amazon.com,Corp,3/28/2018,Miscellaneous,"$12.99 ","iPhone case for Carrie Dixon - Shared use plan",
SH,D49862,Amazon.com,"Eugene Office",3/28/2018,Miscellaneous,"$74.97 ","Keyboard and mouse for Eugene",
SH,D49863,Amazon.com,Corp,3/28/2018,Miscellaneous,"$31.97 ","Phone cases for IT",
MM,D49864,Amazon.com,"Seattle buildout",3/29/2018,Miscellaneous,"$961.75 ","Server room AC and environmental monitoring",
TS,D49865,Amazon.com,Wilsonville,04/02/2018,Miscellaneous,"$22.95 ",Lightbulbs,
SH,D49866,Amazon.com,Corporate,04/02/2018,Miscellaneous,"$371.10 ","Plantronics headsets for IT staff",
TS,D49867,"ManageEngine (Zoho Corp)",Corp,04/03/2018,software,"$574.00 ","Additional 1 technician licenses for ServiceDesk and ADManager",
SH,D49868,Amazon.com,"Sumner office",04/05/2018,Miscellaneous,"$78.46 ","phone case for samsung S7 and S5",
SH,D49869,Bridgetech,"Corporate office",04/06/2018,Miscellaneous,,"(5) E3 and (5) E1 licenses",
SH,D49870,Amazon.com,"Corporate office",04/06/2018,Miscellaneous,"$144.99 ","SSD hard drive for Steve L.",
SH,D49871,Amazon.com,"18-0781 Aspire",04/11/2018,Miscellaneous,"$60.95 ","Cables for job #18-0781",
SH,D49872,Amazon.com,McKenzie,04/11/2018,Miscellaneous,"$531.98 ","2 displays and a docking station",
SH,D49873,Amazon.com,"Upstream PRN 5/6",04/12/2018,Miscellaneous,"$2,714.93 ","Conference room large display, misc hardware",
TS,D49874,SHI,"New Mexico Alan Chavez",4/13/2018,"Computer (Laptop, Desktop or Tablet)","$2,261.63 ","Lenovo P51 laptop with warranty and dock for Alan Chavez",
TS,D49875,SHI,"Seattle Rick Mueller",4/14/2018,"Computer (Laptop, Desktop or Tablet)","$2,486.22 ","Lenovo t480s with warranty and 2 cdocking stations for Rick Mueller",
